@relation R_data_frame

@attribute ID string
@attribute Tweet string
@attribute Affect_Dimension string
@attribute Intensity_Class {0,1,2,3}
@attribute mpqa-posCount numeric
@attribute mpqa-negCount numeric
@attribute BingLiu-posCount numeric
@attribute BingLiu-negCount numeric
@attribute AFINN-posScore numeric
@attribute AFINN-negScore numeric
@attribute S140-posScore numeric
@attribute S140-negScore numeric
@attribute NRC-Hash-Sent-posScore numeric
@attribute NRC-Hash-Sent-negScore numeric
@attribute NRC-10-anger numeric
@attribute NRC-10-anticipation numeric
@attribute NRC-10-disgust numeric
@attribute NRC-10-fear numeric
@attribute NRC-10-joy numeric
@attribute NRC-10-sadness numeric
@attribute NRC-10-surprise numeric
@attribute NRC-10-trust numeric
@attribute NRC-10-negative numeric
@attribute NRC-10-positive numeric
@attribute NRC-10-Expanded-anger numeric
@attribute NRC-10-Expanded-anticipation numeric
@attribute NRC-10-Expanded-disgust numeric
@attribute NRC-10-Expanded-fear numeric
@attribute NRC-10-Expanded-joy numeric
@attribute NRC-10-Expanded-sadness numeric
@attribute NRC-10-Expanded-surprise numeric
@attribute NRC-10-Expanded-trust numeric
@attribute NRC-10-Expanded-negative numeric
@attribute NRC-10-Expanded-positive numeric
@attribute NRC-Hash-Emo-anger numeric
@attribute NRC-Hash-Emo-anticipation numeric
@attribute NRC-Hash-Emo-disgust numeric
@attribute NRC-Hash-Emo-fear numeric
@attribute NRC-Hash-Emo-joy numeric
@attribute NRC-Hash-Emo-sadness numeric
@attribute NRC-Hash-Emo-surprise numeric
@attribute NRC-Hash-Emo-trust numeric
@attribute SentiWordnet-posScore numeric
@attribute SentiWordnet-negScore numeric
@attribute Emoticons-posScore numeric
@attribute Emoticons-negScore numeric
@attribute Negation-negationCount numeric
@attribute neg_anger numeric
@attribute neg_disgust numeric
@attribute neg_fear numeric
@attribute neg_joy numeric
@attribute neg_sadness numeric
@attribute neg_surprise numeric
@attribute neg_trust numeric
@attribute neg_anticipation numeric
@attribute class_anger_binary {0,1}
@attribute class_anger_trinary {0,1,2}

@data
2017-En-10640,'@JustinRow10 dude the new madden 17? Haha',anger,0,0,1,0,1,3,0,2.177,-0.104,0.825,-2.782,1,0,0,1,0,0,0,0,1,0,0.494879,0.293195,0.487238,0.417421,0.315351,0.100667,0.247642,0.350395,1.675712,0.830339,0.418315,0.579574,0.376778,0.041588,0.402573,0,0.666179,0,0.369048,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2017-En-10946,'@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can\"t come to my Mum\"a 60th after 25k tweets then why should I Ã°Å¸â„¢Ë† #bitter #soreloser',anger,2,0,0,0,0,0,0,4.978,-2.527,2.141,-6.365,0,0,0,1,0,0,0,0,1,0,1.24335,1.434291,0.817879,1.154469,1.227846,0.609826,0.757876,1.644819,4.56618,3.330458,2.52215,0.200237,0.782714,0.365762,0.0245,0.141141,0.305129,0.230893,0.515969,-0.166667,0,0,0,0,0,1,0,0,0,0,0,1,1
2017-En-10940,'Lol little things like that make me so angry x',anger,2,1,2,1,1,5,-3,0.984,-1.631,0.724,-2.28,1,0,1,0,0,0,0,0,1,0,0.622481,0.309795,1.087919,0.774648,0.268693,0.354727,0.248625,0.301805,2.706232,0.620371,1.371013,0.151824,0.471663,0,0.169072,0,0.247315,0.287435,1.106761,-1.030952,0,0,0,1,1,0,0,0,0,0,0,1,1
2017-En-11456,'One more day tiff.. One more day!',anger,0,0,0,0,0,0,0,1.259,0,2.212,-0.208,1,0,0,0,0,0,0,0,1,0,0.239846,0.332261,0.143102,0.163918,0.409583,0.085665,0.174702,0.274083,0.734368,1.290969,0,0,0,0,1.238163,0.296602,0,0,0.306548,-0.125,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-En-10869,'Me being on my dean really saving a lot of ppl, bc I don\"t snap nomore &amp; it take so much out of me..',anger,0,0,0,0,0,0,0,2.046,-6.165,1.725,-6.749,0,0,0,0,0,0,0,1,0,1,1.56638,0.747022,1.271176,1.27922,0.544678,1.158072,0.49721,1.140836,6.483156,2.261395,1.45305,1.035607,0.87842,0.099539,0.721365,0.369687,0.944297,0.01925,1.42739,-0.938447,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-En-10514,'Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview',anger,1,1,2,1,2,0,-3,3,-4.504,4.362,-4.401,2,0,1,2,0,1,1,0,2,0,0.745514,0.746814,0.596979,0.776506,0.512274,0.334834,0.372231,1.04649,2.620798,1.839273,0.418989,1.431819,2.828495,2.257393,0,0.072921,1.636663,0.115864,0.17619,-3.872163,0,0,0,2,1,2,0,1,1,0,0,0,2
2017-En-10448,'Women don\"t like girls because we resent them for looking so great/we wish we still looked like that  #washed',anger,2,3,1,2,1,5,0,2.605,-3.303,0.491,-6.649,1,0,0,0,0,0,0,1,1,1,1.221033,0.952372,1.510537,1.561768,0.683483,0.733543,0.564717,0.875727,4.550982,2.317846,2.09865,0.794271,2.406489,0.200894,0,0.553744,0.496972,0.302585,1.765774,-1.155655,0,0,0,1,0,0,0,0,0,1,0,1,1
2017-En-21354,'@brendancoots where\"s your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror',anger,3,1,4,1,4,2,-9,7.219,-2.292,2.385,-8.861,2,0,2,1,0,0,0,0,4,1,0.872329,1.105914,0.962858,0.951567,1.589863,0.480897,0.460941,2.136708,3.402526,4.322105,0.985842,1.644756,3.579021,1.941448,0.705807,0.161024,0.573929,0.761286,0.484375,-1.214583,0,0,0,2,2,1,0,0,0,0,0,1,2
2017-En-11609,'I swear I got anger issues but my heart big AF...',anger,2,1,2,0,2,1,-5,0.187,-5.228,0.785,-3.397,1,0,0,0,0,0,0,1,1,1,0.591852,0.186932,0.356294,0.471747,0.099599,0.338703,0.111224,0.182751,3.068504,0.350838,2.26168,0.036323,0.642248,0.554069,0.489203,0.656141,0.15966,0.797924,0.488858,-0.59375,0,0,0,1,0,0,0,0,0,1,0,1,1
2017-En-10537,'75\" Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.',anger,1,3,3,1,1,2,-1,3.226,-2.081,3.792,-2.594,1,0,0,1,0,1,0,0,1,0,1.513287,1.043636,0.941356,1.34275,0.622892,0.483001,0.468661,1.228693,4.210666,2.44829,0.612468,1.077977,0.221342,0.971365,0.784136,0.197788,1.819027,0.308869,2.085993,-0.958688,0,0,0,1,0,1,0,1,0,0,0,0,2
2017-En-11088,'This is a joke @SomersetCCC #fuming',anger,3,1,0,0,1,2,0,0.136,-0.328,0.136,-4.21,0,0,0,0,0,0,0,0,1,0,0.219511,0.210231,0.212857,0.169527,0.178844,0.097787,0.13869,0.20567,0.89323,0.592896,1.80727,0,0.553791,0,0,0,0.049374,0,0.7875,-0.041667,0,0,0,0,0,0,0,0,0,0,0,1,2
2017-En-10127,'I just love it when people make plans for me without actually including me in this process #rage',anger,3,2,0,1,0,3,0,2.052,-2.393,1.815,-4.276,0,0,0,0,1,0,0,0,0,2,0.638153,0.699941,0.630685,0.886835,0.324974,0.630769,0.488411,0.701771,3.451371,1.403937,2.696432,0.39922,0.915483,0.395628,0.710285,0.457805,1.181057,0.515204,2.791285,-0.2,0,0,0,0,0,0,1,0,0,0,0,1,2
2017-En-11061,'Be quick to #listen, slow to #speak, and slow to .',anger,0,0,2,0,2,0,0,0.662,-2.087,3.428,-0.544,0,0,0,0,0,0,0,0,0,0,0.288555,0.421969,0.177026,0.323416,0.24476,0.132796,0.229015,0.559245,1.457409,1.451368,1.2118,0,0,0.311615,0,0,0.002473,2.111001,0.0625,-0.41369,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-En-10563,'@Sargon_of_Akkad It\"ll be like burning rap albums; they\"ll have to buy it first, but gosh darn it, they have to get rid of it.',anger,1,1,2,1,1,2,0,3.718,-5.252,2.841,-6.105,0,0,0,0,0,0,0,0,0,0,1.689778,1.55868,1.496129,1.784211,0.956081,0.773825,1.067537,1.504928,7.136896,3.038173,1.902575,1.236749,1.168594,0.798666,0.13292,0.417225,1.48815,1.16866,1.820195,-0.620536,0,0,0,0,0,0,0,0,0,0,0,0,2
2017-En-10184,'@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I\"m barracking for Anyone But GWS! #bitter',anger,2,0,0,0,0,3,0,2.953,-1.39,3.094,-4.318,0,0,0,0,0,0,0,0,0,0,0.856996,0.846921,0.739797,0.809051,0.99883,0.397092,0.529754,1.093781,3.884497,2.738151,0.85863,0.159807,0.795515,0.053112,0.0245,0.258789,1.468795,0,0.229167,-0.125,0,0,0,0,0,0,0,0,0,0,0,1,1
2017-En-10378,'@OstinOng YUUUHH Ã°Å¸â„¢â€žÃ°Å¸ËœÂ­ plus clin ep and prevmed ugghhh hahaha #bitter',anger,2,0,0,0,0,3,0,1.29,-2.816,2.784,-2.401,0,0,0,0,0,0,0,0,0,0,0.765277,0.279275,0.725901,0.490534,0.275376,0.4135,0.206071,0.301804,1.692594,0.703981,1.665427,0.949744,0.5317,0,0.232106,0.433831,0.546822,0,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017-En-10689,'my wasp sting is so itchy',anger,0,0,1,0,2,0,-2,0,-4.02,1.742,-0.024,1,0,0,1,0,0,0,0,1,0,0.370954,0.126599,0.576498,0.25916,0.104304,0.316813,0.076788,0.078081,1.440126,0.214472,1.350535,0,0,1.466446,0,0,0.312517,0,0,-2.164583,0,0,0,1,0,1,0,0,0,0,0,0,0
2017-En-10631,'Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ',anger,1,4,2,2,0,7,0,5.39,-4.593,3.865,-6.065,0,3,0,1,1,0,0,1,2,3,1.088533,1.10547,0.842486,0.935608,1.267151,0.532204,0.570962,1.731951,4.225448,4.213783,2.203642,0.599955,1.213399,0.355303,2.485626,0.226518,0.141563,2.176086,3.528528,-0.5625,0,0,1,-0,-0,-1,-1,-0,-0,-1,-3,0,2
2017-En-11107,'@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?',anger,2,1,2,1,1,0,-2,3.247,-1.332,1.571,-5.779,1,0,1,1,1,2,1,2,2,4,0.768425,0.431701,0.850406,0.806966,0.298246,0.284682,0.248327,0.513475,2.952144,1.076703,0.771056,0.956139,2.105853,0.572415,0.14481,0.402505,0.404085,0.990964,0.570887,-1.424797,0,0,0,1,1,1,1,2,1,2,0,1,1
2017-En-11530,'@Arsenal Giroud\"s beard is making me angry.',anger,3,0,1,0,1,0,-3,0.724,-1.783,0.261,-1.037,1,0,1,0,0,0,0,0,1,0,0.435407,0.289473,0.296134,0.403803,0.233354,0.192753,0.177929,0.434674,1.463433,0.815724,1.291348,0.438498,0.075756,0,0,0.504984,0.736578,0,0,-0.260417,0,0,0,1,1,0,0,0,0,0,0,1,2
2017-En-40971,'@mandyjohnson I\"ll be honest.. I hope that annoying Southern bint with the \"look at me\" pout goes out this week! Selasi #FTW',anger,3,2,2,1,2,4,-2,4.656,-3.361,3.274,-4.358,2,1,1,1,2,1,1,2,1,2,1.629766,1.160845,1.792268,1.544646,0.877112,0.746993,0.710926,1.150675,6.259376,2.415637,4.284633,0.857739,0.366243,1.691249,0.319383,0,0.262796,1.56434,0.816518,-1.541414,0,0,0,2,1,1,2,1,1,2,1,1,2
2017-En-10623,'@jaybusbee Well, not Archie. No offense but he\"s kinda old.',anger,1,1,0,1,0,0,-3,1.904,-2.821,1.568,-4.478,1,0,1,1,0,1,0,0,1,0,0.946238,0.47209,0.903213,0.905911,0.355334,0.634699,0.306221,0.979657,4.131781,1.64614,0.30328,0.136218,1.25423,0,0,0.673994,0.460742,0.09642,1.729398,-0.822917,0,0,2,-2,-2,-2,-0,-2,-0,-0,-0,0,2
2017-En-11331,'@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph',anger,0,2,0,2,0,7,0,2.136,-2.036,2.173,-1.563,0,0,0,0,0,0,0,0,0,0,1.104041,0.822846,0.610671,0.781556,1.250349,0.610198,0.739396,0.935011,3.868622,2.346825,0.1569,0.4584,0.160742,0,0.836466,0.453413,1.594825,0.014979,0.70625,-0.3125,0,0,1,-0,-0,-0,-0,-0,-0,-0,-0,0,0
2017-En-11147,'Me and these burns that I pick up off the pitches don\"t get on at all like Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢ #sting',anger,2,1,0,1,1,2,0,0.926,-2.952,2.945,-4.789,0,0,0,0,0,0,0,1,0,2,1.494507,0.579337,1.584027,1.481403,0.404011,0.658363,0.420013,0.694131,4.751217,1.431412,2.617492,0,1.038073,0.095761,0,0,0.165171,0,1.602066,-1.157292,0,0,0,0,0,0,0,0,0,1,0,1,1
2017-En-11158,'ICQ is just making me mad!!!Ã°Å¸ËœÂ¤ #icq #angry',anger,3,1,1,0,1,0,-3,0.394,-1.266,0.064,-3.682,1,0,1,1,0,1,0,0,1,0,0.29751,0.279103,0.213081,0.223412,0.213727,0.117743,0.172698,0.223076,0.950052,0.427409,2.495198,0,0.075756,0,0,0,0.00592,0,0.915774,-0.016667,0,0,0,1,1,1,0,1,0,0,0,1,2
2017-En-11248,'If angry, bash out your frustration on the pastry #GBBO',anger,2,0,2,0,3,0,-5,1.687,-1.827,1.696,-1.361,2,0,1,0,1,0,0,0,2,1,0.488071,0.449685,0.355615,0.401873,0.361377,0.12664,0.261949,0.34904,1.621716,0.779878,2.646873,0,0.173706,0.099539,0,0,0.160983,0.134473,0.166667,-1.157197,0,0,0,2,1,0,1,0,0,0,0,1,1
2017-En-10026,'.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming',anger,3,3,1,1,1,4,0,2.037,-1.303,1.614,-9.898,0,0,0,0,0,0,0,0,0,0,1.291755,0.643164,1.28202,1.059143,0.596961,0.480309,0.60415,0.882588,4.642943,1.796647,4.129859,0.001125,2.097441,0,0.428769,0.028231,0.031341,0.387034,1.002001,-0.536292,0,0,0,0,0,0,0,0,0,0,0,1,2
2017-En-11075,'Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD',anger,0,0,0,0,0,0,0,0.449,-1.076,2.352,-0.214,0,0,0,0,0,0,0,0,0,0,0.625487,0.27448,0.552499,0.331062,0.328422,0.161182,0.217554,0.219097,1.324517,0.737097,2.66167,0,0,0.225223,0,0,0.002351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-En-40458,'@talkRobyn oh dear I have to watch this the woman with the pout did well',anger,1,2,1,1,1,2,0,1.208,-2.194,1.253,-2.898,0,1,0,1,0,0,0,0,0,1,0.808911,0.760375,0.711339,0.673977,0.488489,0.448062,0.499731,0.586333,3.014933,1.501877,1.220446,0.22227,0.587175,0.268663,0.124434,0.057564,0.596378,0.177092,2.765397,-0.3125,0,0,0,0,0,1,0,0,0,0,1,0,2
2017-En-10481,'He totally knew about it\". Trump finally gets revenge for his son-in-law\"s prosecution/imprisonment and throws Christie under the bus.',anger,1,1,1,1,1,0,-2,3.831,-1.654,2.293,-3.604,1,2,1,1,1,0,3,1,1,1,1.156711,0.75425,0.862779,1.189289,0.463919,0.424602,0.409346,1.447445,3.891413,2.143126,0.756286,0.565288,3.247958,0.376813,1.021953,0,0.862691,0.254121,0.479167,-0.5875,0,0,0,1,1,1,1,0,3,1,2,0,2
2017-En-11344,'@Dak2future decorations are up all over Jersey already #outrage',anger,2,0,0,0,0,0,0,1.736,-0.818,0.291,-3.471,0,0,0,0,0,0,0,0,0,0,0.534635,0.400898,0.178331,0.342258,0.481412,0.124759,0.304615,0.349161,1.257205,0.930354,1.132265,0.178066,1.145878,0.621579,0.681448,1.265753,0.155311,0,0.922619,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017-En-11121,'We\"re going to get City in the next round for a revenge.',anger,1,0,1,0,1,0,-2,2.702,-0.517,1.744,-0.679,1,1,0,1,0,0,1,0,1,0,0.539577,0.74532,0.500759,0.648424,0.334633,0.192337,0.272829,0.564658,2.148493,1.584446,0.444267,1.009714,0.146788,0.808527,0.072619,0.024296,0,0.308993,0.240851,-0.78125,0,0,0,1,0,1,0,0,1,0,1,0,2
2017-En-10748,'@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol',anger,0,0,5,0,3,6,-2,2.017,-4.067,1.755,-4.848,3,0,1,2,0,3,0,0,4,0,0.784646,0.29032,0.912744,0.612891,0.253113,0.371941,0.207474,0.380035,3.364207,0.888416,3.535502,0.496182,2.232299,0.390805,0,0.048435,0.49463,0,0.411592,-1.40625,0,0,0,3,1,2,0,3,0,0,0,0,0
2017-En-11559,'No respect for people who force their opinions on to others yet get offended when someone does the same to them Ã°Å¸Ëœâ€š',anger,2,1,1,1,0,2,-3,2.91,-3.06,0.347,-10.98,2,1,0,1,1,1,0,1,2,1,1.052186,0.810326,1.037284,0.915999,0.469031,0.534869,0.385245,1.194353,3.837145,2.523584,2.624657,0.716886,4.213228,0.490595,0.341512,0.508196,0.168236,3.026845,1.229149,-0.566071,0,0,1,-2,-0,-1,-1,-1,-0,-1,-1,1,1
2017-En-11141,'Here\"s a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife',anger,2,0,0,0,0,0,-3,2.837,-1.409,0.776,-5.184,1,0,0,0,0,1,0,0,1,0,0.46884,0.49585,0.372878,0.448296,0.426017,0.250608,0.210157,0.727203,1.817421,1.773559,0.884074,0.141125,0.86894,0.240372,0,0.458656,0.062965,0.728869,0,-0.246244,0,0,0,1,0,0,0,1,0,0,0,1,1
2017-En-10919,'Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn\"t need this. #rant #angry',anger,3,1,2,0,1,3,-4,2.746,-8.344,3.365,-22.053,0,0,0,0,0,0,0,0,1,1,2.349141,0.938017,2.061484,1.64049,0.55032,1.290681,0.512929,0.996207,7.257355,2.084569,6.204732,0.327891,1.933191,0.449251,0.222374,0.210218,0.546464,0.456847,1.309232,-0.820833,0,0,0,0,0,0,0,0,0,0,0,1,2
2017-En-11548,'Ultimately, #KeithScott wasn\"t the man they were there to hand an arrest warrant to. That\"s what we know. That\"s enough to cause outrage.',anger,3,1,1,1,1,0,-5,2.492,-3.595,1.134,-10.266,1,1,1,0,0,0,0,0,2,1,1.756184,0.982306,1.637949,2.115772,0.595677,0.888806,0.620037,1.386354,6.733801,3.010369,1.050714,0.287789,1.762591,0.885877,0,1.086157,0.754838,0.238959,1.115237,-0.28125,0,0,0,1,1,0,0,0,0,0,1,1,2
2017-En-10221,'I genuinely think I have anger issues',anger,2,0,1,0,2,0,-3,0.258,-2.325,0,-2.933,1,0,0,0,0,0,0,0,1,0,0.44019,0.258,0.224489,0.381539,0.143442,0.376126,0.308562,0.258619,2.217976,0.536097,1.448981,0,0.20175,0.098062,0,0,0,0.501205,0.542614,-0.59375,0,0,0,1,0,0,0,0,0,0,0,1,1
2017-En-10479,'Nick said he\"s territorial and he\"ll growl if someone gets too close to me #hesananimal',anger,1,0,3,0,1,0,0,2.292,-2.272,1.152,-3.531,1,0,0,1,0,0,0,0,1,0,0.895305,0.691097,0.65205,0.999965,0.419511,0.405905,0.325924,1.060073,2.904557,1.756094,1.722162,0.077943,0.489307,0.285609,0,0.165264,0.708892,0.905038,0.574118,-0.3125,0,0,0,1,0,1,0,0,0,0,0,0,2
2017-En-11144,'@MagicAndFangs \"Just by getting lost! I don\"t want to see you in my eyes!\" Hungary huffed and crossed her arms, looking away angrily.',anger,2,2,2,0,2,1,-3,4.837,-5.867,4.465,-3.362,0,0,0,0,0,1,0,1,1,1,1.926202,1.629805,1.091947,1.774642,1.276891,0.856635,0.921881,1.427827,6.375465,3.424175,1.685557,1.059085,0.656711,1.232068,0.539043,0.968688,0.32707,0.166457,1.234673,-1.365526,0,0,0,0,0,0,0,1,0,1,0,1,1
2017-En-11243,'In  fact,  sometimes i don\"t get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.',anger,2,0,4,0,4,0,-10,2.326,-4.523,2.623,-7.143,2,0,3,0,0,0,0,2,4,1,1.102854,0.775944,0.876509,1.001742,0.492592,0.629557,0.454664,1.036011,4.939337,2.43031,4.260374,0.061206,1.749612,0.365424,0,0.23375,0.101919,0.940003,0.801453,-2.434226,0,0,0,2,3,0,0,0,0,2,0,1,1
2017-En-11339,'Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury',anger,1,3,0,2,0,6,0,4.405,-0.692,5.589,-1.267,0,2,0,0,2,0,2,1,0,2,0.697276,0.845274,0.474262,0.58986,0.805616,0.273848,0.453102,0.982579,2.025124,2.481929,1.79199,1.947275,0.402344,2.045478,2.045359,0.582973,1.665793,0.899836,3.08564,-0.010417,0,0,0,0,0,0,2,0,2,1,2,0,2
