Index,Original text,Modified text,High emotion,Subject matter,Ideological alignment,
21,"Especially as summer approaches, I know that this pandemic is having a real impact on all of us. Working with our medical experts, we are going to continue providing the best guidance we can as soon as we can so that we can do our best to keep people safe","Especially as summer approaches, I know that this pandemic is having a real impact on all of us. Working with our medical experts, we are going to continue providing the best guidance we can as soon as we can so that we can do our best to keep people safe",Trust,Covid,None,
22,"This pandemic will be with us for some time. But I have every confidence we will find a way to get schools open safely in the new school year. These challenges will require close coordination with the Board, DPI and the General Assembly, and I hope to continue working together.","This pandemic will be with us for some time. But I have every confidence we will find a way to get schools open safely in the new school year. These challenges will require close coordination with other government agencies, and I hope to continue working together.",Trust,Covid,None,
24,"Just because the weather is warmer doesn't mean the pandemic is over. We must remain vigilant. It's just as important now as ever to continue regularly washing your hands, physically distance and wear a mask. We must continue to be smart and stay safe.","Just because the weather is warmer doesn't mean the pandemic is over. We must remain vigilant. It's just as important now as ever to continue regularly washing your hands, physically distance and wear a mask. We must continue to be smart and stay safe.",Trust,Covid,None,
25,I’m hopeful that Senate leaders and Secretary Mnuchin will reach an agreement on the coronavirus relief bill as soon as possible. We need to offer the economy a sense of stability and assure Americans that the government will continue to help them get through this.,I’m hopeful that Senate leaders and the administration will reach an agreement on the coronavirus relief bill as soon as possible. We need to offer the economy a sense of stability and assure Americans that the government will continue to help them get through this.,Trust,Covid,None,
26,"Protecting public health during the coronavirus outbreak has required steps that were unimaginable only weeks ago. Last week, Congress passed extraordinary measures to save our economy from collapse and provide health care workers the resources they need.","Protecting public health during the coronavirus outbreak has required steps that were unimaginable only weeks ago. Last week, Congress passed extraordinary measures to save our economy from collapse and provide health care workers the resources they need.",Trust,Covid,None,
27,"Social distancing is paying off. We can defeat coronavirus if we all do our part. Congress must continue to do its part too. We must continue to provide all the resources our country and our economy need, for as long as it takes.","Social distancing is paying off. We can defeat coronavirus if we all do our part. Congress must continue to do its part too. We must continue to provide all the resources our country and our economy need, for as long as it takes.",Trust,Covid,None,
28,Wearing a face mask helps slow the spread of #COVID19 . It\\s easy and the right thing to do.,Wearing a face mask helps slow the spread of #COVID19 . It's easy and the right thing to do.,None,Covid,None,
29,Thank you to Arizonans for acting responsibly to slow the spread of #COVID19. These efforts are making a difference.,Thank you to the citizens of our great state for acting responsibly to slow the spread of #COVID19. These efforts are making a difference.,None,Covid,None,
31,"This morning I stopped by the COVID-19 testing site at the Citadel Mall in Colorado Springs. The testing site is free, quick, and easy! Anyone who wants to be tested can get tested.","This morning I stopped by the COVID-19 testing site at the Citadel Mall in Colorado Springs. The testing site is free, quick, and easy! Anyone who wants to be tested can get tested.",None,Covid,None,Excluded due to locality reference
32,Here are 5 things you can do to take care of your mental health during the Coronavirus outbreak.,Here are 5 things you can do to take care of your mental health during the Coronavirus outbreak.,None,Covid,None,
36,"Louisiana surpassed a major testing milestone today, having now conducted more than 1 million COVID-19 tests since March. This would not be possible without our federal, state & local governments working together with health care providers.","Our state surpassed a major testing milestone today, having now conducted more than 1 million COVID-19 tests since March. This would not be possible without our federal, state and local governments working together with health care providers.",None,Covid,None,
37,I'm closely monitoring the spread of COVID-19 in King and Snohomish counties. Please visit the Washington State Department of Health (@WADeptHealth) website for the latest developments:,I'm closely monitoring the spread of COVID-19 in our state. Please visit the State Department of Health website for the latest developments:,None,Covid,None,
38,Today is #NationalDoctorsDay. Please join me in thanking all of our doctors and health care professionals who are on the frontlines against the coronavirus outbreak. My prayers are with you today and every day.,Today is #NationalDoctorsDay. Please join me in thanking all of our doctors and health care professionals who are on the frontlines against the coronavirus outbreak. My prayers are with you today and every day.,None,Covid,None,
40,Please visit our Coronavirus Resource Page so you can stay up-to-date with the latest information. It will be continuously updated as we find out more about this virus and how it affects our communities.,Please visit our Coronavirus Resource Page so you can stay up-to-date with the latest information. It will be continuously updated as we find out more about this virus and how it affects our communities.,None,Covid,None,
